,Rede1,Rede2,Confirma√ß√£o rede 1,Confirma√ß√£o rede 2,Resultado
840,Folhas lineares,Mangueira,P,N,Mangueira
841,nan,Palmeira,,PM,Palmeira
842,nan,Amendoeira,,N,Árvore de outra espécie
843,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
844,nan,Palmeira,,Y,Palmeira
845,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
846,nan,Palmeira,,N,Palmeira
847,nan,nan,,,Nenhuma identificação realizada
848,nan,nan,,,Nenhuma identificação realizada
849,Palmeira,Palmeira,Y,Y,Palmeira
850,nan,Palmeira,,N,Palmeira
851,nan,Palmeira,,N,Palmeira
852,Folhas arredondadas,Amendoeira,P,P,Amendoeira
853,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
854,nan,Mangueira,,N,Árvore de outra espécie
855,nan,Poste,,PC,Nenhuma identificação realizada
856,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
857,Postes,Amendoeira,PC,N,Amendoeira
858,nan,nan,,,Nenhuma identificação realizada
859,nan,nan,,,Nenhuma identificação realizada
860,nan,nan,,,Nenhuma identificação realizada
861,nan,Amendoeira,,N,Árvore de outra espécie
862,nan,Poste,,PC,Nenhuma identificação realizada
863,Outras,Palmeira,O,PM,Nenhuma identificação realizada
864,nan,Mangueira,,N,Árvore de outra espécie
865,nan,Poste,,PC,Nenhuma identificação realizada
866,nan,Palmeira,,P,Palmeira
867,nan,Amendoeira,,P,Árvore de outra espécie
868,Outras,Mangueira,O,N,Árvore de outra espécie
869,Postes,Mangueira,PC,N,Mangueira
870,Outras,Cajueiro,O,N,Árvore de outra espécie
871,nan,Poste,,PC,Nenhuma identificação realizada
872,nan,nan,,,Nenhuma identificação realizada
873,nan,Amendoeira,,N,Árvore de outra espécie
874,nan,Mangueira,,N,Árvore de outra espécie
875,nan,Poste,,PC,Nenhuma identificação realizada
876,nan,Amendoeira,,P,Árvore de outra espécie
877,nan,Mangueira,,P,Árvore de outra espécie
878,nan,Mangueira,,N,Árvore de outra espécie
879,nan,Mangueira,,Y,Árvore de outra espécie
880,nan,Amendoeira,,N,Árvore de outra espécie
881,Folhas arredondadas,Palmeira,P,Y,Nenhuma identificação realizada
882,Palmeira,Poste,N,PC,Palmeira
883,Postes,Amendoeira,PC,P,Amendoeira
884,Folhas arredondadas,Mangueira,Y,P,Árvore de outra espécie
885,nan,Mangueira,,N,Árvore de outra espécie
886,nan,Palmeira,,PM,Palmeira
887,nan,Cajueiro,,P,Árvore de outra espécie
888,nan,Palmeira,,N,Palmeira
889,nan,Mangueira,,N,Árvore de outra espécie
890,nan,nan,,,Nenhuma identificação realizada
891,nan,Mangueira,,N,Árvore de outra espécie
892,Postes,Poste,PC,PC,Nenhuma identificação realizada
893,Postes,Mangueira,PC,N,Mangueira
894,Postes,Poste,PC,PC,Nenhuma identificação realizada
895,nan,nan,,,Nenhuma identificação realizada
896,nan,Palmeira,,N,Palmeira
897,nan,Poste,,PC,Nenhuma identificação realizada
898,nan,Amendoeira,,N,Árvore de outra espécie
899,Palmeira,Palmeira,Y,Y,Palmeira
900,nan,Palmeira,,N,Palmeira
901,nan,Palmeira,,N,Palmeira
902,nan,Poste,,PC,Nenhuma identificação realizada
903,nan,Poste,,PC,Nenhuma identificação realizada
904,nan,Poste,,PC,Nenhuma identificação realizada
905,Postes,Mangueira,PC,Y,Mangueira
906,Folhas arredondadas,Mangueira,P,Y,Árvore de outra espécie
907,nan,Poste,,PC,Nenhuma identificação realizada
908,nan,Amendoeira,,P,Árvore de outra espécie
909,Postes,Palmeira,PC,N,Nenhuma identificação realizada
910,nan,nan,,,Nenhuma identificação realizada
911,nan,nan,,,Nenhuma identificação realizada
912,Postes,Amendoeira,PC,P,Amendoeira
913,nan,Palmeira,,N,Palmeira
914,nan,nan,,,Nenhuma identificação realizada
915,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
916,nan,Palmeira,,N,Palmeira
917,Postes,Mangueira,PC,Y,Mangueira
918,Postes,Cajueiro,PC,P,Cajueiro
919,nan,nan,,,Nenhuma identificação realizada
920,nan,Amendoeira,,N,Árvore de outra espécie
921,nan,Amendoeira,,N,Árvore de outra espécie
922,nan,Poste,,PC,Nenhuma identificação realizada
923,nan,Palmeira,,N,Palmeira
924,Folhas arredondadas,Amendoeira,P,P,Amendoeira
925,nan,nan,,,Nenhuma identificação realizada
926,Postes,Palmeira,PC,N,Nenhuma identificação realizada
927,Postes,Amendoeira,PC,N,Amendoeira
928,nan,Palmeira,,N,Palmeira
929,nan,Poste,,PC,Nenhuma identificação realizada
930,Postes,Palmeira,PC,N,Nenhuma identificação realizada
931,nan,Mangueira,,N,Árvore de outra espécie
932,nan,Amendoeira,,P,Árvore de outra espécie
933,nan,Poste,,PC,Nenhuma identificação realizada
934,Postes,Mangueira,PC,N,Mangueira
935,nan,nan,,,Nenhuma identificação realizada
936,nan,Palmeira,,N,Palmeira
937,Postes,Palmeira,PC,P,Nenhuma identificação realizada
938,nan,nan,,,Nenhuma identificação realizada
939,nan,Poste,,PC,Nenhuma identificação realizada
940,nan,Palmeira,,N,Palmeira
941,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
942,nan,Mangueira,,N,Árvore de outra espécie
943,Outras,Palmeira,PC,Y,Nenhuma identificação realizada
944,Folhas lineares,Mangueira,Y,Y,Mangueira
945,nan,Poste,,PC,Nenhuma identificação realizada
946,nan,Palmeira,,N,Palmeira
947,nan,Palmeira,,N,Palmeira
948,Folhas lineares,Palmeira,N,N,Nenhuma identificação realizada
949,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
950,nan,Palmeira,,PM,Palmeira
951,nan,Poste,,PC,Nenhuma identificação realizada
952,nan,Palmeira,,PM,Palmeira
953,nan,Mangueira,,P,Árvore de outra espécie
954,nan,Poste,,PC,Nenhuma identificação realizada
955,nan,nan,,,Nenhuma identificação realizada
956,nan,Amendoeira,,N,Árvore de outra espécie
957,Folhas arredondadas,Palmeira,Y,N,Nenhuma identificação realizada
958,nan,Mangueira,,P,Árvore de outra espécie
959,nan,Palmeira,,N,Palmeira
960,nan,Amendoeira,,P,Árvore de outra espécie
961,Folhas arredondadas,Amendoeira,P,P,Amendoeira
962,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
963,Palmeira,Mangueira,Y,N,Palmeira
964,nan,Mangueira,,P,Árvore de outra espécie
965,nan,Palmeira,,N,Palmeira
966,Folhas arredondadas,Mangueira,Y,N,Árvore de outra espécie
967,Postes,Palmeira,PC,N,Nenhuma identificação realizada
968,nan,Amendoeira,,P,Árvore de outra espécie
969,Postes,Palmeira,PC,N,Nenhuma identificação realizada
970,nan,Poste,,PC,Nenhuma identificação realizada
971,nan,Mangueira,,P,Árvore de outra espécie
972,nan,Palmeira,,N,Palmeira
973,nan,Mangueira,,N,Árvore de outra espécie
974,nan,Mangueira,,N,Árvore de outra espécie
975,Postes,Poste,PC,PC,Nenhuma identificação realizada
976,nan,Amendoeira,,Y,Árvore de outra espécie
977,nan,Amendoeira,,P,Árvore de outra espécie
978,nan,Mangueira,,P,Árvore de outra espécie
979,nan,Mangueira,,P,Árvore de outra espécie
980,nan,Mangueira,,P,Árvore de outra espécie
981,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
982,nan,Mangueira,,N,Árvore de outra espécie
983,nan,Poste,,PC,Nenhuma identificação realizada
984,nan,nan,,,Nenhuma identificação realizada
985,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
986,nan,Palmeira,,Y,Palmeira
987,Outras,Mangueira,O,Y,Árvore de outra espécie
988,nan,Palmeira,,N,Palmeira
989,Postes,Palmeira,P,PM,Nenhuma identificação realizada
990,Folhas arredondadas,Mangueira,P,Y,Árvore de outra espécie
991,nan,Palmeira,,PM,Palmeira
992,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
993,Folhas arredondadas,Poste,P,PC,Nenhuma identificação realizada
994,Postes,Mangueira,PC,P,Mangueira
995,nan,Poste,,PC,Nenhuma identificação realizada
996,nan,Mangueira,,N,Árvore de outra espécie
997,nan,Mangueira,,N,Árvore de outra espécie
998,Palmeira,Amendoeira,Y,N,Palmeira
999,Folhas arredondadas,Mangueira,N,P,Árvore de outra espécie
1000,Postes,Cajueiro,PC,N,Cajueiro
1001,nan,Mangueira,,N,Árvore de outra espécie
1002,Postes,Mangueira,PC,N,Mangueira
1003,nan,Mangueira,,N,Árvore de outra espécie
1004,nan,Mangueira,,N,Árvore de outra espécie
1005,nan,Mangueira,,P,Árvore de outra espécie
1006,nan,Mangueira,,P,Árvore de outra espécie
1007,nan,Poste,,PC,Nenhuma identificação realizada
1008,nan,Cajueiro,,N,Árvore de outra espécie
1009,nan,Amendoeira,,N,Árvore de outra espécie
1010,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
1011,nan,Amendoeira,,Y,Árvore de outra espécie
1012,nan,Palmeira,,Y,Palmeira
1013,nan,Poste,,Pc,Nenhuma identificação realizada
1014,nan,Palmeira,,Y,Palmeira
1015,Palmeira,Palmeira,Y,Y,Palmeira
1016,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
1017,nan,Mangueira,,P,Árvore de outra espécie
1018,nan,Cajueiro,,P,Árvore de outra espécie
1019,nan,Mangueira,,Y,Árvore de outra espécie
1020,Postes,Mangueira,PC,N,Mangueira
1021,nan,nan,,,Nenhuma identificação realizada
1022,Folhas lineares,Mangueira,Y,P,Mangueira
1023,nan,Palmeira,,Y,Palmeira
1024,nan,Palmeira,,PM,Palmeira
1025,Palmeira,Palmeira,Y,Y,Palmeira
1026,nan,nan,,,Nenhuma identificação realizada
1027,nan,Mangueira,,P,Árvore de outra espécie
1028,nan,Amendoeira,,P,Árvore de outra espécie
1029,Folhas arredondadas,Amendoeira,P,P,Amendoeira
1030,nan,Mangueira,,N,Árvore de outra espécie
1031,nan,Mangueira,,N,Árvore de outra espécie
1032,nan,Mangueira,,Y,Árvore de outra espécie
1033,Outras,Mangueira,O,N,Árvore de outra espécie
1034,Postes,Mangueira,PC,N,Mangueira
1035,nan,Mangueira,,N,Árvore de outra espécie
1036,Postes,Poste,PC,PC,Nenhuma identificação realizada
1037,Postes,Amendoeira,PC,N,Amendoeira
1038,Outras,Amendoeira,O,P,Árvore de outra espécie
1039,nan,Poste,,PC,Nenhuma identificação realizada
1040,Folhas arredondadas,Amendoeira,Y,p,Amendoeira
1041,nan,Cajueiro,,N,Árvore de outra espécie
1042,nan,Palmeira,,N,Palmeira
1043,Folhas lineares,Palmeira,Y,Pm,Nenhuma identificação realizada
1044,Outras,Mangueira,O,Y,Árvore de outra espécie
1045,nan,Palmeira,,N,Palmeira
1046,Folhas arredondadas,Amendoeira,P,P,Amendoeira
1047,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1048,nan,Poste,,PC,Nenhuma identificação realizada
1049,Postes,Mangueira,PC,Y,Mangueira
1050,Folhas arredondadas,Amendoeira,Y,Y,Amendoeira
1051,nan,Mangueira,,N,Árvore de outra espécie
1052,nan,Palmeira,,N,Palmeira
1053,nan,Palmeira,,N,Palmeira
1054,nan,Mangueira,,N,Árvore de outra espécie
1055,nan,Mangueira,,P,Árvore de outra espécie
1056,nan,Palmeira,,P,Palmeira
1057,nan,Palmeira,,N,Palmeira
1058,nan,Poste,,PC,Nenhuma identificação realizada
1059,Postes,Mangueira,PC,N,Mangueira
1060,Folhas lineares,Mangueira,Y,N,Mangueira
1061,nan,Palmeira,,N,Palmeira
1062,nan,nan,,,Nenhuma identificação realizada
1063,nan,Palmeira,,Y,Palmeira
1064,Folhas arredondadas,Amendoeira,P,P,Amendoeira
1065,Postes,Mangueira,PC,P,Mangueira
1066,Postes,Mangueira,PC,P,Mangueira
1067,nan,nan,,,Nenhuma identificação realizada
1068,nan,Palmeira,,Y,Palmeira
1069,nan,Mangueira,,Y,Árvore de outra espécie
1070,nan,Palmeira,,N,Palmeira
1071,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1072,nan,Poste,,PC,Nenhuma identificação realizada
1073,nan,Palmeira,,Y,Palmeira
1074,nan,Palmeira,,PM,Palmeira
1075,nan,Amendoeira,,P,Árvore de outra espécie
1076,nan,Cajueiro,,N,Árvore de outra espécie
1077,Folhas arredondadas,Amendoeira,Y,Y,Amendoeira
1078,nan,Amendoeira,,P,Árvore de outra espécie
1079,nan,Palmeira,,Y,Palmeira
1080,Folhas arredondadas,Mangueira,P,Y,Árvore de outra espécie
1081,Postes,Mangueira,PC,P,Mangueira
1082,nan,Palmeira,,PM,Palmeira
1083,Postes,Poste,PC,PC,Nenhuma identificação realizada
1084,Postes,Mangueira,PC,N,Mangueira
1085,nan,Amendoeira,,N,Árvore de outra espécie
1086,nan,Mangueira,,N,Árvore de outra espécie
1087,nan,nan,,,Nenhuma identificação realizada
1088,Postes,Mangueira,PC,N,Mangueira
1089,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
1090,Folhas lineares,Palmeira,N,N,Nenhuma identificação realizada
1091,nan,Mangueira,,P,Árvore de outra espécie
1092,nan,Mangueira,,N,Árvore de outra espécie
1093,nan,Poste,,PC,Nenhuma identificação realizada
1094,nan,nan,,,Nenhuma identificação realizada
1095,nan,Mangueira,,N,Árvore de outra espécie
1096,nan,Palmeira,,N,Palmeira
1097,nan,Mangueira,,N,Árvore de outra espécie
1098,Folhas lineares,Cajueiro,Y,P,Árvore de outra espécie
1099,nan,Mangueira,,Y,Árvore de outra espécie
1100,nan,Poste,,PC,Nenhuma identificação realizada
1101,nan,Amendoeira,,N,Árvore de outra espécie
1102,nan,Mangueira,,N,Árvore de outra espécie
1103,nan,Mangueira,,P,Árvore de outra espécie
1104,Outras,Mangueira,O,N,Árvore de outra espécie
1105,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1106,nan,nan,,,Nenhuma identificação realizada
1107,nan,Amendoeira,,P,Árvore de outra espécie
1108,nan,Palmeira,,N,Palmeira
1109,nan,Amendoeira,,N,Árvore de outra espécie
1110,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1111,nan,nan,,,Nenhuma identificação realizada
1112,nan,Poste,,PC,Nenhuma identificação realizada
1113,Postes,Poste,PC,PC,Nenhuma identificação realizada
1114,nan,Mangueira,,N,Árvore de outra espécie
1115,nan,Palmeira,,N,Palmeira
1116,Folhas lineares,Mangueira,P,N,Mangueira
1117,nan,Palmeira,,PM,Palmeira
1118,nan,Mangueira,,N,Árvore de outra espécie
1119,nan,Mangueira,,N,Árvore de outra espécie
1120,nan,Palmeira,,PM,Palmeira
1121,Palmeira,Palmeira,Y,Y,Palmeira
1122,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1123,Postes,Mangueira,PC,Y,Mangueira
1124,nan,Amendoeira,,P,Árvore de outra espécie
1125,nan,nan,,,Nenhuma identificação realizada
1126,nan,Palmeira,,N,Palmeira
1127,nan,Mangueira,,P,Árvore de outra espécie
1128,nan,Palmeira,,N,Palmeira
1129,nan,Poste,,PC,Nenhuma identificação realizada
1130,Folhas arredondadas,Poste,N,PC,Nenhuma identificação realizada
1131,Postes,Poste,PC,PC,Nenhuma identificação realizada
1132,Postes,Amendoeira,PC,N,Amendoeira
1133,Palmeira,Palmeira,Y,Y,Palmeira
1134,Outras,Amendoeira,O,Y,Árvore de outra espécie
1135,Postes,Mangueira,PC,P,Mangueira
1136,Postes,Mangueira,PC,P,Mangueira
1137,nan,Palmeira,,N,Palmeira
1138,Postes,Mangueira,PC,N,Mangueira
1139,nan,Mangueira,,P,Árvore de outra espécie
1140,nan,Palmeira,,N,Palmeira
1141,nan,Amendoeira,,N,Árvore de outra espécie
1142,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
1143,nan,Mangueira,,N,Árvore de outra espécie
1144,Postes,Mangueira,PC,P,Mangueira
1145,Postes,Mangueira,PC,P,Mangueira
1146,nan,Poste,,PC,Nenhuma identificação realizada
1147,nan,Poste,,PC,Nenhuma identificação realizada
1148,nan,Palmeira,,PM,Palmeira
1149,nan,Palmeira,,N,Palmeira
1150,nan,Palmeira,,Pm,Palmeira
1151,Postes,Amendoeira,PC,P,Amendoeira
1152,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
1153,nan,Amendoeira,,N,Árvore de outra espécie
1154,nan,Palmeira,,Y,Palmeira
1155,nan,Palmeira,,Y,Palmeira
1156,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1157,nan,Amendoeira,,P,Árvore de outra espécie
1158,Folhas arredondadas,Amendoeira,P,P,Amendoeira
1159,Palmeira,Palmeira,Y,Y,Palmeira
1160,nan,Poste,,PC,Nenhuma identificação realizada
1161,Outras,Mangueira,O,N,Árvore de outra espécie
1162,nan,Mangueira,,Nf,Árvore de outra espécie
1163,nan,Mangueira,,N,Árvore de outra espécie
1164,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
1165,nan,Mangueira,,N,Árvore de outra espécie
1166,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1167,Postes,Amendoeira,PC,P,Amendoeira
1168,Postes,Mangueira,PC,P,Mangueira
1169,nan,Poste,,PC,Nenhuma identificação realizada
1170,Folhas lineares,Amendoeira,Y,P,Árvore de outra espécie
1171,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1172,nan,Palmeira,,N,Palmeira
1173,Postes,Poste,PC,PC,Nenhuma identificação realizada
1174,nan,nan,,,Nenhuma identificação realizada
1175,nan,Mangueira,,P,Árvore de outra espécie
1176,Palmeira,Palmeira,Y,Y,Palmeira
1177,Folhas arredondadas,Amendoeira,Y,Y,Amendoeira
1178,nan,Poste,,PC,Nenhuma identificação realizada
1179,nan,Mangueira,,P,Árvore de outra espécie
1180,nan,Mangueira,,P,Árvore de outra espécie
1181,Outras,nan,O,,Nenhuma identificação realizada
1182,nan,Palmeira,,N,Palmeira
1183,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
1184,nan,Poste,,PC,Nenhuma identificação realizada
1185,Outras,Amendoeira,O,,Árvore de outra espécie
1186,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1187,Folhas arredondadas,Mangueira,P,N,Árvore de outra espécie
1188,nan,nan,,,Nenhuma identificação realizada
1189,nan,Poste,,PC,Nenhuma identificação realizada
1190,nan,Poste,,PC,Nenhuma identificação realizada
1191,nan,Poste,,PC,Nenhuma identificação realizada
1192,nan,Palmeira,,Y,Palmeira
1193,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1194,nan,Mangueira,,N,Árvore de outra espécie
1195,nan,nan,,,Nenhuma identificação realizada
1196,Postes,Mangueira,PC,P,Mangueira
1197,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
1198,nan,Poste,,PC,Nenhuma identificação realizada
1199,nan,Poste,,PC,Nenhuma identificação realizada
1200,nan,Mangueira,,Y,Árvore de outra espécie
1201,nan,Amendoeira,,N,Árvore de outra espécie
1202,nan,Palmeira,,N,Palmeira
1203,Palmeira,Palmeira,Y,Y,Palmeira
1204,nan,Palmeira,,Y,Palmeira
1205,nan,Palmeira,,Y,Palmeira
1206,Postes,Mangueira,PC,N,Mangueira
1207,nan,Poste,,PC,Nenhuma identificação realizada
1208,nan,Mangueira,,N,Árvore de outra espécie
1209,Postes,Mangueira,PC,N,Mangueira
1210,Postes,Mangueira,PC,N,Mangueira
1211,nan,Palmeira,,N,Palmeira
1212,Postes,Poste,PC,PC,Nenhuma identificação realizada
1213,nan,nan,,,Nenhuma identificação realizada
1214,nan,Palmeira,,N,Palmeira
1215,nan,Palmeira,,Y,Palmeira
1216,nan,nan,,,Nenhuma identificação realizada
1217,nan,Poste,,PC,Nenhuma identificação realizada
1218,Palmeira,Palmeira,Y,Y,Palmeira
1219,nan,Poste,,PC,Nenhuma identificação realizada
1220,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1221,nan,Amendoeira,,P,Árvore de outra espécie
1222,Postes,Mangueira,PC,N,Mangueira
1223,nan,Poste,,PC,Nenhuma identificação realizada
1224,nan,Poste,,PC,Nenhuma identificação realizada
1225,nan,Palmeira,,PM,Palmeira
1226,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
1227,Folhas arredondadas,Poste,P,PC,Nenhuma identificação realizada
1228,Palmeira,Palmeira,Y,Y,Palmeira
1229,Folhas arredondadas,Poste,N,PC,Nenhuma identificação realizada
1230,Folhas arredondadas,Mangueira,P,N,Árvore de outra espécie
1231,nan,Poste,,PC,Nenhuma identificação realizada
1232,nan,Palmeira,,PM,Palmeira
1233,Folhas lineares,Amendoeira,Y,P,Árvore de outra espécie
1234,nan,Poste,,PC,Nenhuma identificação realizada
1235,nan,Poste,,PC,Nenhuma identificação realizada
1236,nan,Amendoeira,,P,Árvore de outra espécie
1237,nan,Palmeira,,PM,Palmeira
1238,nan,Poste,,PC,Nenhuma identificação realizada
1239,Folhas arredondadas,Mangueira,N,N,Árvore de outra espécie
1240,Folhas arredondadas,Poste,P,PC,Nenhuma identificação realizada
1241,nan,Mangueira,,N,Árvore de outra espécie
1242,nan,Poste,,PC,Nenhuma identificação realizada
1243,nan,nan,,,Nenhuma identificação realizada
1244,Palmeira,Mangueira,Y,P,Palmeira
1245,Postes,Amendoeira,PC,P,Amendoeira
1246,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
1247,nan,Palmeira,,Y,Palmeira
1248,Postes,Mangueira,PC,Y,Mangueira
1249,Palmeira,Palmeira,Y,Y,Palmeira
1250,nan,Palmeira,,Y,Palmeira
1251,nan,nan,,,Nenhuma identificação realizada
1252,nan,Mangueira,,Y,Árvore de outra espécie
1253,nan,Poste,,PC,Nenhuma identificação realizada
1254,nan,nan,,,Nenhuma identificação realizada
1255,nan,Palmeira,,Y,Palmeira
1256,Folhas arredondadas,Amendoeira,P,P,Amendoeira
1257,nan,Palmeira,,N,Palmeira
1258,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
1259,nan,Palmeira,,N,Palmeira
1260,nan,Mangueira,,N,Árvore de outra espécie
1261,Folhas arredondadas,Mangueira,Y,P,Árvore de outra espécie
1262,nan,nan,,,Nenhuma identificação realizada
1263,nan,Palmeira,,N,Palmeira
1264,nan,Poste,,PC,Nenhuma identificação realizada
