,Rede1,Rede2,Confirma√ß√£o rede 1,Confirma√ß√£o rede 2,Resultado
1265,nan,Palmeira,,N,Palmeira
1266,nan,Palmeira,,PM,Palmeira
1267,nan,nan,,,Nenhuma identificação realizada
1268,Palmeira,Palmeira,Y,Y,Palmeira
1269,nan,Palmeira,,P,Palmeira
1270,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1271,nan,nan,,,Nenhuma identificação realizada
1272,nan,nan,,,Nenhuma identificação realizada
1273,nan,Palmeira,,N,Palmeira
1274,Postes,Mangueira,PC,P,Mangueira
1275,nan,Palmeira,,PM,Palmeira
1276,nan,Amendoeira,,N,Árvore de outra espécie
1277,nan,Palmeira,,N,Palmeira
1278,nan,Palmeira,,PM,Palmeira
1279,Postes,Mangueira,PC,Y,Mangueira
1280,nan,Mangueira,,Y,Árvore de outra espécie
1281,nan,Palmeira,,N,Palmeira
1282,Postes,Amendoeira,PC,N,Amendoeira
1283,Folhas arredondadas,Cajueiro,P,N,Cajueiro
1284,nan,Amendoeira,,N,Árvore de outra espécie
1285,nan,nan,,,Nenhuma identificação realizada
1286,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1287,nan,nan,,,Nenhuma identificação realizada
1288,Postes,Amendoeira,PC,N,Amendoeira
1289,Folhas arredondadas,Poste,P,PC,Nenhuma identificação realizada
1290,nan,Mangueira,,P,Árvore de outra espécie
1291,nan,Mangueira,,N,Árvore de outra espécie
1292,nan,Palmeira,,N,Palmeira
1293,Folhas arredondadas,Palmeira,P,Y,Nenhuma identificação realizada
1294,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1295,nan,Amendoeira,,Y,Árvore de outra espécie
1296,nan,Poste,,PC,Nenhuma identificação realizada
1297,nan,Palmeira,,Y,Palmeira
1298,Folhas lineares,Mangueira,Y,P,Mangueira
1299,nan,Amendoeira,,N,Árvore de outra espécie
1300,Postes,Mangueira,PC,P,Mangueira
1301,nan,nan,,,Nenhuma identificação realizada
1302,nan,Amendoeira,,P,Árvore de outra espécie
1303,nan,Palmeira,,Y,Palmeira
1304,nan,Poste,,PC,Nenhuma identificação realizada
1305,nan,Amendoeira,,Y,Árvore de outra espécie
1306,Postes,Mangueira,PC,Y,Mangueira
1307,Palmeira,Palmeira,Y,Y,Palmeira
1308,nan,Palmeira,,Y,Palmeira
1309,nan,Palmeira,,Y,Palmeira
1310,nan,Poste,,PC,Nenhuma identificação realizada
1311,nan,Poste,,PC,Nenhuma identificação realizada
1312,Palmeira,Palmeira,Y,Y,Palmeira
1313,nan,nan,,,Nenhuma identificação realizada
1314,nan,Mangueira,,P,Árvore de outra espécie
1315,Postes,Amendoeira,PC,N,Amendoeira
1316,nan,nan,,,Nenhuma identificação realizada
1317,nan,Poste,,PC,Nenhuma identificação realizada
1318,nan,Poste,,PC,Nenhuma identificação realizada
1319,nan,Palmeira,,N,Palmeira
1320,nan,Mangueira,,P,Árvore de outra espécie
1321,nan,nan,,,Nenhuma identificação realizada
1322,Folhas arredondadas,Amendoeira,P,P,Amendoeira
1323,Postes,Mangueira,PC,P,Mangueira
1324,nan,Amendoeira,,N,Árvore de outra espécie
1325,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
1326,nan,nan,,,Nenhuma identificação realizada
1327,nan,Palmeira,,PM,Palmeira
1328,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
1329,Postes,Poste,PC,PC,Nenhuma identificação realizada
1330,nan,Mangueira,,N,Árvore de outra espécie
1331,nan,nan,,,Nenhuma identificação realizada
1332,nan,Poste,,PC,Nenhuma identificação realizada
1333,Postes,Mangueira,PC,N,Mangueira
1334,nan,Palmeira,,N,Palmeira
1335,Postes,Poste,PC,PC,Nenhuma identificação realizada
1336,Folhas arredondadas,Palmeira,P,Y,Nenhuma identificação realizada
1337,Folhas arredondadas,Palmeira,P,PM,Nenhuma identificação realizada
1338,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
1339,nan,nan,,,Nenhuma identificação realizada
1340,Postes,Poste,PC,PC,Nenhuma identificação realizada
1341,nan,Amendoeira,,P,Árvore de outra espécie
1342,nan,Palmeira,,Pm,Palmeira
1343,nan,Amendoeira,,P,Árvore de outra espécie
1344,Folhas arredondadas,Amendoeira,N,P,Amendoeira
1345,nan,nan,,,Nenhuma identificação realizada
1346,nan,Poste,,PC,Nenhuma identificação realizada
1347,nan,Mangueira,,P,Árvore de outra espécie
1348,nan,Mangueira,,P,Árvore de outra espécie
1349,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
1350,nan,Palmeira,,PM,Palmeira
1351,Postes,Cajueiro,PC,P,Cajueiro
1352,nan,Cajueiro,,P,Árvore de outra espécie
1353,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
1354,Postes,Mangueira,PC,N,Mangueira
1355,nan,Cajueiro,,N,Árvore de outra espécie
1356,nan,nan,,,Nenhuma identificação realizada
1357,Postes,Amendoeira,PC,P,Amendoeira
1358,nan,nan,,,Nenhuma identificação realizada
1359,nan,Palmeira,,N,Palmeira
1360,nan,nan,,,Nenhuma identificação realizada
1361,Postes,Mangueira,PC,N,Mangueira
1362,Outras,Palmeira,O,N,Nenhuma identificação realizada
1363,Folhas arredondadas,Mangueira,N,N,Árvore de outra espécie
1364,nan,Palmeira,,N,Palmeira
1365,Postes,Mangueira,PC,N,Mangueira
1366,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
1367,nan,Mangueira,,N,Árvore de outra espécie
1368,nan,Amendoeira,,Y,Árvore de outra espécie
1369,nan,Mangueira,,P,Árvore de outra espécie
1370,nan,Palmeira,,N,Palmeira
1371,nan,Palmeira,,PM,Palmeira
1372,nan,Palmeira,,Y,Palmeira
1373,nan,Cajueiro,,N,Árvore de outra espécie
1374,nan,Palmeira,,N,Palmeira
1375,nan,Palmeira,,N,Palmeira
1376,Outras,Palmeira,O,N,Nenhuma identificação realizada
1377,nan,Mangueira,,P,Árvore de outra espécie
1378,nan,Mangueira,,P,Árvore de outra espécie
1379,Folhas arredondadas,Amendoeira,P,P,Amendoeira
1380,Outras,Cajueiro,O,P,Árvore de outra espécie
1381,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1382,Folhas arredondadas,Cajueiro,T,P,Cajueiro
1383,Folhas arredondadas,Mangueira,Y,P,Árvore de outra espécie
1384,Postes,Mangueira,PC,N,Mangueira
1385,Outras,Cajueiro,O,P,Árvore de outra espécie
1386,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
1387,nan,Palmeira,,N,Palmeira
1388,Outras,Mangueira,O,N,Árvore de outra espécie
1389,nan,Palmeira,,PM,Palmeira
1390,nan,Amendoeira,,y,Árvore de outra espécie
1391,nan,Mangueira,,P,Árvore de outra espécie
1392,Folhas lineares,Poste,Y,PC,Nenhuma identificação realizada
1393,nan,Amendoeira,,P,Árvore de outra espécie
1394,nan,Palmeira,,N,Palmeira
1395,Folhas arredondadas,Amendoeira,N,P,Amendoeira
1396,nan,nan,,,Nenhuma identificação realizada
1397,nan,nan,,,Nenhuma identificação realizada
1398,Postes,Amendoeira,PC,P,Amendoeira
1399,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1400,Folhas lineares,Mangueira,Y,Y,Mangueira
1401,Folhas arredondadas,Amendoeira,Y,Y,Amendoeira
1402,Folhas arredondadas,Amendoeira,Y,N,Amendoeira
1403,nan,nan,,,Nenhuma identificação realizada
1404,Postes,Mangueira,PC,N,Mangueira
1405,nan,Poste,,PC,Nenhuma identificação realizada
1406,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
1407,nan,Palmeira,,PM,Palmeira
1408,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
1409,nan,Palmeira,,n,Palmeira
1410,nan,Poste,,PC,Nenhuma identificação realizada
1411,nan,Poste,,PC,Nenhuma identificação realizada
1412,nan,Poste,,PC,Nenhuma identificação realizada
1413,nan,Palmeira,,N,Palmeira
1414,Folhas arredondadas,Mangueira,Y,Y,Árvore de outra espécie
1415,Postes,Mangueira,PC,N,Mangueira
1416,Postes,Mangueira,PC,P,Mangueira
1417,nan,Amendoeira,,P,Árvore de outra espécie
1418,nan,Poste,,PC,Nenhuma identificação realizada
1419,nan,Poste,,PC,Nenhuma identificação realizada
1420,nan,Palmeira,,Y,Palmeira
1421,Palmeira,Mangueira,Y,N,Palmeira
1422,Postes,Amendoeira,PC,P,Amendoeira
1423,nan,Mangueira,,N,Árvore de outra espécie
1424,nan,Poste,,PC,Nenhuma identificação realizada
1425,nan,nan,,,Nenhuma identificação realizada
1426,nan,nan,,,Nenhuma identificação realizada
1427,nan,Palmeira,,P,Palmeira
1428,nan,Palmeira,,PM,Palmeira
1429,nan,nan,,,Nenhuma identificação realizada
1430,Folhas arredondadas,Cajueiro,P,P,Cajueiro
1431,Palmeira,Palmeira,Y,Y,Palmeira
1432,nan,Palmeira,,Y,Palmeira
1433,nan,Amendoeira,,P,Árvore de outra espécie
1434,Palmeira,Palmeira,Y,Y,Palmeira
1435,nan,Amendoeira,,N,Árvore de outra espécie
1436,nan,nan,,,Nenhuma identificação realizada
1437,Folhas arredondadas,Amendoeira,P,P,Amendoeira
1438,nan,Palmeira,,N,Palmeira
1439,nan,Mangueira,,N,Árvore de outra espécie
1440,nan,Mangueira,,N,Árvore de outra espécie
1441,nan,Poste,,PC,Nenhuma identificação realizada
1442,nan,Poste,,PC,Nenhuma identificação realizada
1443,nan,Palmeira,,PM,Palmeira
1444,Folhas arredondadas,Mangueira,Y,P,Árvore de outra espécie
1445,Postes,Poste,PC,PC,Nenhuma identificação realizada
1446,Postes,Mangueira,PC,P,Mangueira
1447,nan,Mangueira,,P,Árvore de outra espécie
1448,Outras,Mangueira,O,P,Árvore de outra espécie
1449,Postes,Mangueira,PC,P,Mangueira
1450,nan,Mangueira,,N,Árvore de outra espécie
1451,nan,Palmeira,,N,Palmeira
1452,nan,Poste,,PC,Nenhuma identificação realizada
1453,nan,Palmeira,,P,Palmeira
1454,Postes,Mangueira,PC,P,Mangueira
1455,Folhas arredondadas,Mangueira,Y,N,Árvore de outra espécie
1456,Folhas arredondadas,Mangueira,Y,P,Árvore de outra espécie
1457,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
1458,nan,Palmeira,,P,Palmeira
1459,nan,Palmeira,,PM,Palmeira
1460,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
1461,nan,Poste,,PC,Nenhuma identificação realizada
1462,nan,Palmeira,,P,Palmeira
1463,Postes,Mangueira,PC,P,Mangueira
1464,Postes,Poste,PC,PC,Nenhuma identificação realizada
1465,nan,Poste,,PC,Nenhuma identificação realizada
1466,Folhas lineares,Amendoeira,Y,P,Árvore de outra espécie
1467,nan,nan,,,Nenhuma identificação realizada
1468,nan,Poste,,PC,Nenhuma identificação realizada
1469,nan,Poste,,PC,Nenhuma identificação realizada
1470,nan,Cajueiro,,P,Árvore de outra espécie
1471,nan,nan,,,Nenhuma identificação realizada
1472,nan,Palmeira,,N,Palmeira
1473,nan,nan,,,Nenhuma identificação realizada
1474,nan,Palmeira,,Y,Palmeira
1475,nan,Mangueira,,N,Árvore de outra espécie
1476,nan,Palmeira,,PM,Palmeira
1477,nan,Mangueira,,P,Árvore de outra espécie
1478,Postes,Amendoeira,PC,P,Amendoeira
1479,Palmeira,Mangueira,Y,Y,Palmeira
1480,Folhas arredondadas,Amendoeira,P,Y,Amendoeira
1481,nan,Mangueira,,Y,Árvore de outra espécie
1482,Folhas arredondadas,Cajueiro,Y,Y,Cajueiro
1483,nan,nan,,,Nenhuma identificação realizada
1484,Postes,Amendoeira,PC,Y,Amendoeira
1485,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1486,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1487,nan,Mangueira,,P,Árvore de outra espécie
1488,Folhas lineares,Amendoeira,P,P,Árvore de outra espécie
1489,nan,Mangueira,,N,Árvore de outra espécie
1490,nan,Palmeira,,Y,Palmeira
1491,Folhas arredondadas,Mangueira,P,Y,Árvore de outra espécie
1492,Postes,Amendoeira,PC,N,Amendoeira
1493,Postes,Amendoeira,PC,N,Amendoeira
1494,nan,Poste,,PC,Nenhuma identificação realizada
1495,nan,Amendoeira,,P,Árvore de outra espécie
1496,Palmeira,Palmeira,Y,Y,Palmeira
1497,Postes,Poste,PC,PC,Nenhuma identificação realizada
1498,Outras,Mangueira,O,P,Árvore de outra espécie
1499,nan,nan,,,Nenhuma identificação realizada
1500,nan,Poste,,PC,Nenhuma identificação realizada
1501,nan,Poste,,PC,Nenhuma identificação realizada
1502,nan,nan,,,Nenhuma identificação realizada
1503,Postes,Amendoeira,PC,N,Amendoeira
1504,nan,Mangueira,,P,Árvore de outra espécie
1505,nan,Amendoeira,,P,Árvore de outra espécie
1506,nan,Poste,,PC,Nenhuma identificação realizada
1507,nan,Palmeira,,P,Palmeira
1508,Postes,Mangueira,PC,N,Mangueira
1509,Postes,Poste,PC,PC,Nenhuma identificação realizada
1510,nan,Amendoeira,,P,Árvore de outra espécie
1511,nan,Mangueira,,N,Árvore de outra espécie
1512,nan,Palmeira,,PM,Palmeira
1513,nan,Mangueira,,Y,Árvore de outra espécie
1514,nan,Mangueira,,P,Árvore de outra espécie
1515,nan,nan,,,Nenhuma identificação realizada
1516,nan,Mangueira,,P,Árvore de outra espécie
1517,nan,Poste,,P,Nenhuma identificação realizada
1518,nan,Cajueiro,,N,Árvore de outra espécie
1519,nan,Poste,,PC,Nenhuma identificação realizada
1520,nan,Palmeira,,PM,Palmeira
1521,nan,Palmeira,,N,Palmeira
1522,nan,Palmeira,,N,Palmeira
1523,nan,Mangueira,,P,Árvore de outra espécie
1524,nan,Cajueiro,,P,Árvore de outra espécie
1525,nan,Amendoeira,,P,Árvore de outra espécie
1526,nan,Mangueira,,N,Árvore de outra espécie
1527,Folhas arredondadas,Mangueira,CN,P,Árvore de outra espécie
1528,nan,Amendoeira,,P,Árvore de outra espécie
1529,nan,Palmeira,,N,Palmeira
1530,Postes,Mangueira,PC,N,Mangueira
1531,nan,Amendoeira,,P,Árvore de outra espécie
1532,Folhas arredondadas,Mangueira,Y,P,Árvore de outra espécie
1533,nan,Palmeira,,Y,Palmeira
1534,nan,Amendoeira,,N,Árvore de outra espécie
1535,nan,Palmeira,,Y,Palmeira
1536,nan,Mangueira,,P,Árvore de outra espécie
1537,Folhas arredondadas,Mangueira,N,Y,Árvore de outra espécie
1538,nan,Palmeira,,Y,Palmeira
1539,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1540,nan,nan,,,Nenhuma identificação realizada
1541,nan,Amendoeira,,P,Árvore de outra espécie
1542,nan,Palmeira,,N,Palmeira
1543,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1544,Folhas arredondadas,Cajueiro,P,Y,Cajueiro
1545,Postes,Poste,PC,PC,Nenhuma identificação realizada
1546,nan,Palmeira,,N,Palmeira
1547,nan,Poste,,PC,Nenhuma identificação realizada
1548,nan,Poste,,PC,Nenhuma identificação realizada
1549,nan,Mangueira,,N,Árvore de outra espécie
1550,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
1551,Postes,Palmeira,PC,P,Nenhuma identificação realizada
1552,nan,nan,,,Nenhuma identificação realizada
1553,nan,Palmeira,,Y,Palmeira
1554,Outras,Poste,O,PC,Nenhuma identificação realizada
1555,nan,Mangueira,,P,Árvore de outra espécie
1556,nan,Amendoeira,,N,Árvore de outra espécie
1557,nan,Palmeira,,Y,Palmeira
1558,nan,Mangueira,,P,Árvore de outra espécie
1559,nan,Mangueira,,P,Árvore de outra espécie
1560,nan,Poste,,PC,Nenhuma identificação realizada
1561,nan,Mangueira,,N,Árvore de outra espécie
1562,nan,Mangueira,,N,Árvore de outra espécie
1563,nan,Poste,,PC,Nenhuma identificação realizada
1564,nan,nan,,,Nenhuma identificação realizada
1565,Folhas arredondadas,Amendoeira,P,P,Amendoeira
1566,nan,Poste,,PC,Nenhuma identificação realizada
1567,nan,Palmeira,,N,Palmeira
1568,nan,Palmeira,,P,Palmeira
1569,Postes,Mangueira,PC,P,Mangueira
1570,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
1571,Postes,Amendoeira,PC,N,Amendoeira
1572,nan,Amendoeira,,N,Árvore de outra espécie
1573,nan,Palmeira,,N,Palmeira
1574,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1575,Folhas lineares,Mangueira,Y,Y,Mangueira
1576,nan,Poste,,PC,Nenhuma identificação realizada
1577,Folhas arredondadas,Mangueira,P,N,Árvore de outra espécie
1578,Postes,Amendoeira,PC,P,Amendoeira
1579,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1580,nan,Mangueira,,P,Árvore de outra espécie
1581,nan,Poste,,PC,Nenhuma identificação realizada
1582,nan,Mangueira,,N,Árvore de outra espécie
1583,nan,Poste,,PC,Nenhuma identificação realizada
1584,Postes,Poste,PC,PC,Nenhuma identificação realizada
1585,nan,Poste,,PC,Nenhuma identificação realizada
1586,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
1587,nan,nan,,,Nenhuma identificação realizada
1588,nan,Amendoeira,,P,Árvore de outra espécie
1589,nan,Palmeira,,Y,Palmeira
1590,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
1591,Postes,Poste,PC,PC,Nenhuma identificação realizada
1592,nan,nan,,,Nenhuma identificação realizada
1593,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1594,nan,nan,,,Nenhuma identificação realizada
1595,Outras,Mangueira,O,P,Árvore de outra espécie
1596,Palmeira,Palmeira,Y,Y,Palmeira
1597,Outras,Mangueira,O,Y,Árvore de outra espécie
1598,Postes,Mangueira,PC,P,Mangueira
1599,nan,Poste,,PC,Nenhuma identificação realizada
1600,nan,Poste,,PC,Nenhuma identificação realizada
1601,nan,Amendoeira,,N,Árvore de outra espécie
1602,nan,Amendoeira,,Y,Árvore de outra espécie
1603,Postes,Mangueira,PC,Y,Mangueira
1604,nan,Mangueira,,Y,Árvore de outra espécie
1605,nan,Palmeira,,Y,Palmeira
1606,nan,Palmeira,,N,Palmeira
1607,nan,Palmeira,,PM,Palmeira
1608,nan,Mangueira,,P,Árvore de outra espécie
1609,Postes,Amendoeira,Pc,P,Amendoeira
1610,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1611,nan,Palmeira,,Y,Palmeira
1612,nan,Palmeira,,N,Palmeira
1613,nan,Poste,,PC,Nenhuma identificação realizada
1614,nan,Poste,,	PC,Nenhuma identificação realizada
1615,Outras,Mangueira,O,P,Árvore de outra espécie
1616,nan,nan,,,Nenhuma identificação realizada
1617,nan,Mangueira,,P,Árvore de outra espécie
1618,Folhas lineares,Amendoeira,Y,Y,Árvore de outra espécie
1619,Folhas lineares,Cajueiro,Y,P,Árvore de outra espécie
1620,Postes,Mangueira,PC,Y,Mangueira
1621,nan,Mangueira,,P,Árvore de outra espécie
1622,nan,Poste,,PC,Nenhuma identificação realizada
1623,Folhas arredondadas,Amendoeira,O[,P,Amendoeira
1624,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1625,nan,Mangueira,,N,Árvore de outra espécie
1626,Palmeira,Poste,Y,PC,Palmeira
1627,Outras,Mangueira,O,Y,Árvore de outra espécie
1628,Folhas arredondadas,Mangueira,N,P,Árvore de outra espécie
1629,nan,Amendoeira,,P,Árvore de outra espécie
1630,nan,Palmeira,,Y,Palmeira
1631,Folhas arredondadas,Mangueira, P,P,Árvore de outra espécie
1632,Folhas arredondadas,Amendoeira,P,P,Amendoeira
1633,nan,Palmeira,,PM,Palmeira
1634,nan,Palmeira,,N,Palmeira
1635,nan,Palmeira,,Y,Palmeira
1636,nan,Amendoeira,,N,Árvore de outra espécie
1637,nan,Palmeira,,N,Palmeira
1638,Postes,Amendoeira,PC,N,Amendoeira
1639,Palmeira,Palmeira,N,N,Palmeira
1640,nan,Amendoeira,,P,Árvore de outra espécie
1641,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1642,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
1643,Outras,Palmeira,O,Y,Nenhuma identificação realizada
1644,Postes,Mangueira,PC,Y,Mangueira
1645,nan,nan,,,Nenhuma identificação realizada
1646,nan,Mangueira,,P,Árvore de outra espécie
1647,nan,Amendoeira,,N,Árvore de outra espécie
1648,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
1649,nan,Palmeira,,PM,Palmeira
1650,Folhas arredondadas,Palmeira,Y,N,Nenhuma identificação realizada
1651,nan,Mangueira,,N,Árvore de outra espécie
1652,nan,Poste,,PC,Nenhuma identificação realizada
1653,nan,Mangueira,,Y,Árvore de outra espécie
1654,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1655,nan,nan,,,Nenhuma identificação realizada
1656,nan,Mangueira,,Y,Árvore de outra espécie
1657,nan,Poste,,PC,Nenhuma identificação realizada
1658,nan,Palmeira,,N,Palmeira
1659,nan,Palmeira,,Y,Palmeira
1660,nan,Amendoeira,,Y,Árvore de outra espécie
1661,nan,Mangueira,,N,Árvore de outra espécie
1662,Postes,Mangueira,PC,P,Mangueira
1663,nan,Palmeira,,N,Palmeira
1664,nan,Amendoeira,,N,Árvore de outra espécie
1665,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1666,Postes,Amendoeira,PC,Y,Amendoeira
1667,Postes,Mangueira,PC,Y,Mangueira
1668,nan,Mangueira,,P,Árvore de outra espécie
1669,nan,nan,,,Nenhuma identificação realizada
1670,nan,Palmeira,,Y,Palmeira
1671,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
1672,nan,Amendoeira,,P,Árvore de outra espécie
1673,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1674,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
1675,nan,Poste,,PC,Nenhuma identificação realizada
1676,nan,Mangueira,,N,Árvore de outra espécie
1677,Palmeira,Palmeira,Y,Y,Palmeira
1678,nan,Amendoeira,,P,Árvore de outra espécie
1679,nan,Mangueira,,N,Árvore de outra espécie
1680,Folhas arredondadas,Amendoeira,P,P,Amendoeira
1681,nan,Palmeira,,P,Palmeira
1682,nan,nan,,,Nenhuma identificação realizada
1683,nan,Mangueira,,Y,Árvore de outra espécie
1684,Folhas arredondadas,Palmeira,N,N,Nenhuma identificação realizada
1685,nan,Amendoeira,,N,Árvore de outra espécie
